PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Title length,No. of titles,Is indexable page
40,https://leeroyjenkins.quest/,Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,14,1,true
21,https://leeroyjenkins.quest/esports-terms,Esports Terms,text/html; charset=utf-8,false,200,0,0,13,1,true
21,https://leeroyjenkins.quest/best-fps-mouse,Best FPS Mice,text/html; charset=utf-8,false,200,0,0,13,1,true
