PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://firemaths.info/,Fire Maths,text/html; charset=utf-8,false,200,,4381,<truncated>,28876,1243072011400316511,0,true
20,https://firemaths.info/capital-gains-tax-calculator,Capital Gains Tax Calculator 2024 & 2025 | Fire Maths,text/html; charset=utf-8,false,200,,1513,<truncated>,9231,3671974233238108244,0,true
