PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://www.siliconbased.dev/,,text/html,false,301,0,https://siliconbased.dev/,200,https://siliconbased.dev/,200,false,0,0,
0,http://siliconbased.dev/,,,false,301,0,https://siliconbased.dev/,200,https://siliconbased.dev/,200,false,1,1,
0,http://www.siliconbased.dev/,,text/html,false,301,0,http://siliconbased.dev/,301,"http://siliconbased.dev/
https://siliconbased.dev/","301
200",false,0,0,
