PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,H1,H1 length,No. of H1,Is indexable page
20,https://siliconbased.dev/guide-markdown,Markdown Syntax Guide | Reference & Cheat Sheet,text/html; charset=utf-8,false,200,0,0,"Markdown Syntax Guide
Heading 1","21
9",2,true
20,https://siliconbased.dev/accessibility-checklist,Web Accessibility Checklist: WCAG 2.1 AA & Keyboard Navigation,text/html; charset=utf-8,false,200,0,0,"Website Accessibility Checklist
` through `
` that describes its main topic.","31
11
32",3,true
