Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Target final redirect URL,Target final redirect HTTP status code,Is source canonical,Is source noindex,Is link internal
Href link,false,https://thenookienook.com/love-language-list,200,https://thenookienook.com/sites/siliconbased/fidget-spinner,404,fidget spinner,,,,false,false,true
Href link,false,https://thenookienook.com/love-language-list,200,https://thenookienook.com/sites/siliconbased/love-language-list,404,love language list,,,,false,false,true
Href link,false,https://thenookienook.com/love-language-list,200,https://thenookienook.com/sites/siliconbased/truth-finder,404,truth finder,,,,false,false,true
