PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,http://www.ijustwantto.live/,,text/html,false,301,0,http://ijustwantto.live/,301,"http://ijustwantto.live/
https://ijustwantto.live/","301
200",false,0,0,
0,https://www.ijustwantto.live/,,text/html,false,301,0,https://ijustwantto.live/,200,https://ijustwantto.live/,200,false,0,0,
0,http://ijustwantto.live/,,,false,301,0,https://ijustwantto.live/,200,https://ijustwantto.live/,200,false,1,1,
