PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
20,https://ijustwantto.live/sq-ft-calculator,Square Footage Calculator,text/html; charset=utf-8,false,200,0,0,https://ijustwantto.live/sites/siliconbased/ascvd-risk-calculator,404,1,,,0
20,https://ijustwantto.live/square-feet-calculator,Square Feet Calculator: Area Measurement Tool,text/html; charset=utf-8,false,200,0,0,https://ijustwantto.live/sites/siliconbased/ira-calculator,404,1,,,0
20,https://ijustwantto.live/how-to-unclog-a-drain,How to Unclog a Drain: Best Methods Ranked,text/html; charset=utf-8,false,200,0,0,https://ijustwantto.live/essential-life-skills,404,1,,,0
