PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
20,https://leeroyjenkins.quest/fidget-spinner,"Fidget Spinner: Science, History, and Benefits",text/html; charset=utf-8,false,200,0,0,"https://leeroyjenkins.quest/sites/siliconbased/fidget-spinner
https://leeroyjenkins.quest/sites/siliconbased/love-language-list
https://leeroyjenkins.quest/sites/siliconbased/truth-finder","404
404
404",3,,,0
20,https://leeroyjenkins.quest/pokemon-type-calculator,Pokemon Type Calculator: Find Strengths & Weaknesses,text/html; charset=utf-8,false,200,0,0,https://leeroyjenkins.quest/sites/siliconbased/simplify-calculator,404,1,,,0
