PR,URL,Title,Content type,Is rendered page,HTTP status code,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Meta description,H1,Organic traffic,Is indexable page
40,https://leeroyjenkins.quest/,Leeroy Jenkins,text/html; charset=utf-8,false,200,2417,<truncated>,15938,2897766301973435083,"Leeroy Jenkins — tools, guides, studies, and resources.",Leeroy Jenkins,0,true
20,https://leeroyjenkins.quest/gpu-performance-index,GPU Performance Index 2025 — Every Graphics Card Ranked,text/html; charset=utf-8,false,200,138,<truncated>,797,4518693023556651975,Original research compiling GPU benchmark data into a single searchable comparison. Gamers google RTX vs RX millions of times — we provide the definitive.,GPU Performance Index 2025 — Every Graphics Card Ranked,0,true
