PR,URL,Title,Content type,Is rendered page,HTTP status code,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://leeroyjenkins.quest/,Leeroy Jenkins,text/html; charset=utf-8,false,200,"Leeroy Jenkins — tools, guides, studies, and resources.",2417,<truncated>,15938,2897766301973435083,0,true
20,https://leeroyjenkins.quest/gpu-performance-index,GPU Performance Index 2025 — Every Graphics Card Ranked,text/html; charset=utf-8,false,200,Original research compiling GPU benchmark data into a single searchable comparison. Gamers google RTX vs RX millions of times — we provide the definitive.,138,<truncated>,797,4518693023556651975,0,true
20,https://leeroyjenkins.quest/list-free-games,Best Free-to-Play Games | Leeroy Jenkins,text/html; charset=utf-8,false,200,"Curated list of the top free-to-play games including Valorant, Fortnite, Apex Legends, League of Legends, Genshin Impact, and Path of Exile.",756,<truncated>,5232,1601830985087548412,0,true
20,https://leeroyjenkins.quest/bottleneck-calculator,PC Bottleneck Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,"Check for CPU and GPU bottlenecks in your PC build. Calculate hardware bottlenecks across different resolutions like 1080p, 1440p, and 4K to optimize your.",393,<truncated>,2340,3090429459486266139,0,true
20,https://leeroyjenkins.quest/list-discord-bots,Best Discord Bots Guide | Leeroy Jenkins,text/html; charset=utf-8,false,200,"A curated list and comparison of the best Discord bots for moderation, music, leveling, welcome messages, and server utility.",988,<truncated>,6750,3198756215948892641,0,true
